# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\tiles.png	255	128	192
40	textures\tiles4.png	255	255	255
50	textures\enemies-2.png	0	128	128
60	textures\enemy3.png	255	255	255
70	textures\map.png	156	252	240
80	textures\mario2.png	255	255	255
90	textures\mario3.png	255	255	255
100	textures\misc2.png	166	185	255
110	textures\enemies-3.png	0	130	130
120	textures\enemies-4.png	0	255	255
130	textures\flower.png	255	255	255
140	textures\flower2.png	255	255	255
150	textures\misc3.png	166	185	255
240	textures\HUD.png	0	224	142
250	textures\final.png	0	183	239
260	textures\map.png	255	255	255
280	textures\special_items.png	0	183	239
290	textures\left_transform.png	68	145	190
300	textures\right_transform.png	68	145	190
310	textures\ruangua.png	0	128	128
320	textures\ruanguahoisinh.png	0	255	255
330	textures\end_scene1.png	0	0	0
340	textures\breakbrick.png	176	224	248
501	textures\map1-1_bank.png	255	255	255

[MAP]
#id 	TRTileSet	TCTileSet	TRMap	TCMap	TotalTiles	Maxtrix_path
501	14	17	14	63	230	textures\map1-1_map.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0

#stand downing pipe
10008	216	0	230	15	0

# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
# die 
10099	215	120	231	135	0
#brake right
05001	5	154	21	182	0
#brake left
05015	425	154	441	182	0

#jump right
08014	395	275	411	301	0
# jump left
08002	35	275	51	301	0

#shoot right
08015	423	274	444	301	0

#shoot left
08001	2	274	23	301	0
#hold right idle
10018	335	234	351	261	0
#hold left idle
10019	95	234	111	261	0
#walk hold right
10020	276	314	292	341	0
10044	305	314	321	341	0
#walk hold left 
10045	154	314	170	341	0
10046	125	314	141	341	0
#hit hold right
10047	423	274	444	301	0
#hit hold left
10048	2	274	23	301	0

#high-speed left
05002	35	155	54	181	0
05003	65	154	84	181	0
#high-speed right
05013	362	154	381	181	0
05014	392	155	411	181	0

#fly left
06002	33	195	52	221	0
#fly right
06014	394	195	413	221	0

#sit right
07015	426	230	440	257	0
#sit left
07001	6	230	20	257	0

# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#jump right
3013	395	80	411	96	0

#jump left
3002	35	80	51	96	0

#brake right 
01001	6	0	26	14	0

#brake left
01015	426	0	440	16	0

#hold right idle
10038	246	120	260	136	0
#hold left idle
10039	186	120	200	136	0
#walk hold right
10040	276	120	291	136	0
#walk hold left 
10041	155	120	170	136	0
#hit hold right
10042	425	80	441	96	0
#hit hold left
10043	5	80	21	96	0

#high-speed left
01006	155	0	171	16	0
01004	95	0	111	16	0
#high-speed right
01010	275	0	291	16	0
01012	335	0	351	16	0
